ID,name,full_name,club,age,league,height_cm,weight_kg,nationality,eur_value,eur_wage,overall,potential,pac,sho,pas,dri,def,phy,international_reputation,weak_foot,work_rate_att,work_rate_def,preferred_foot
20801,Cristiano Ronaldo,C. Ronaldo dos Santos Aveiro,Real Madrid CF,32,Spanish Primera División,185,80,Portugal,95500000,565000,94,94,90,93,82,90,33,80,5,4,High,Low,Right
158023,L. Messi,Lionel Messi,FC Barcelona,30,Spanish Primera División,170,72,Argentina,105000000,565000,93,93,89,90,86,96,26,61,5,4,Medium,Medium,Left
190871,Neymar,Neymar da Silva Santos Jr.,Paris Saint-Germain,25,French Ligue 1,175,68,Brazil,123000000,280000,92,94,92,84,79,95,30,60,5,5,High,Medium,Right
176580,L. Suárez,Luis Suárez,FC Barcelona,30,Spanish Primera División,182,86,Uruguay,97000000,510000,92,92,82,90,79,87,42,81,5,4,High,Medium,Right
167495,M. Neuer,Manuel Neuer,FC Bayern Munich,31,German Bundesliga,193,92,Germany,61000000,230000,92,92,91,90,95,89,60,91,5,4,Medium,Medium,Right
188545,R. Lewandowski,Robert Lewandowski,FC Bayern Munich,28,German Bundesliga,185,79,Poland,92000000,355000,91,91,81,88,75,86,38,82,4,4,High,Medium,Right
193080,De Gea,David De Gea Quintana,Manchester United,26,English Premier League,193,76,Spain,64500000,215000,90,92,90,85,87,90,58,86,4,3,Medium,Medium,Right
183277,E. Hazard,Eden Hazard,Chelsea,26,English Premier League,173,76,Belgium,90500000,295000,90,91,90,82,84,92,32,66,4,4,High,Medium,Right
182521,T. Kroos,Toni Kroos,Real Madrid CF,27,Spanish Primera División,182,78,Germany,79000000,340000,90,90,56,81,89,81,73,70,4,5,Medium,Medium,Right
167664,G. Higuaín,Gonzalo Higuaín,Juventus,29,Italian Serie A,184,87,Argentina,77000000,275000,90,90,79,87,70,83,25,74,4,4,High,Medium,Right
155862,Sergio Ramos,Sergio Ramos García,Real Madrid CF,31,Spanish Primera División,183,75,Spain,52000000,310000,90,90,76,63,71,71,88,83,4,3,High,Medium,Right
192985,K. De Bruyne,Kevin De Bruyne,Manchester City,26,English Premier League,181,68,Belgium,83000000,285000,89,92,75,84,88,85,45,75,4,4,High,High,Right
192119,T. Courtois,Thibaut Courtois,Chelsea,25,English Premier League,199,94,Belgium,59000000,190000,89,92,85,91,69,88,49,86,4,3,Medium,Medium,Left
